index,cate,disease_name,description,Possible_steps,image_url,cate_img
0,Apple,Bệnh ghẻ,Bệnh ghẻ táo là bệnh phổ biến nhất của cây táo và cua ở Minnesota. Bệnh ghẻ là do một loại nấm lây nhiễm cả lá và quả. Trái cây ghẻ thường không phù hợp để ăn. Lá bị nhiễm bệnh có đốm màu xanh ô liu đến nâu. Lá có nhiều đốm lá chuyển sang màu vàng và rụng sớm. Mất lá làm suy yếu cây khi nó xảy ra nhiều năm liên tiếp. Trồng các giống kháng bệnh là cách tốt nhất để kiểm soát bệnh ghẻ.,"Chọn giống kháng bệnh khi có thể. Cào dưới tán cây và tiêu hủy lá bị nhiễm bệnh để giảm số lượng bào tử nấm có sẵn để bắt đầu chu kỳ bệnh trở lại vào mùa xuân tới. Tưới nước vào buổi tối hoặc sáng sớm (tránh tưới trên cao) để lá có thời gian khô trước khi nhiễm trùng có thể xảy ra. Trải một lớp phân ủ từ 3 đến 6 inch dưới tán cây, giữ nó cách xa thân cây, để che phủ đất và ngăn chặn sự phát tán của bào tử nấm. Để kiểm soát tốt nhất, hãy phun xà phòng đồng lỏng sớm, hai tuần trước khi các triệu chứng thường xuất hiện. Ngoài ra, bắt đầu sử dụng khi bệnh xuất hiện lần đầu tiên và lặp lại trong khoảng thời gian 7 đến 10 ngày cho đến khi hoa rơi.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg,https://i.imgur.com/fw2v28W.png
1,Apple,Thối đen,"Các triệu chứng lá đầu tiên xảy ra vào đầu mùa xuân khi lá đang mở ra. Chúng xuất hiện dưới dạng các đốm nhỏ, màu tím ở mặt trên của lá lan rộng thành các tổn thương tròn có đường kính từ 1/8 đến 1/4 inch (3-6 mm). Rìa của các tổn thương vẫn có màu tím, trong khi trung tâm chuyển sang màu nâu sang màu nâu. Trong một vài tuần, sự mở rộng thứ cấp của các đốm lá này xảy ra. Lá bị nhiễm bệnh nặng trở nên úa vàng và rụng lá xảy ra. Khi khu vực mục nát mở rộng, một loạt các dải đồng tâm có chiều rộng đồng đều hình thành xen kẽ màu từ đen sang nâu. Thịt của khu vực mục nát vẫn cứng và có da. Pycnidia đen thường được nhìn thấy trên bề mặt của quả bị nhiễm bệnh.","Loại bỏ các thối rữa bằng cách cắt tỉa ít nhất 15 inch dưới đầu và đốt hoặc chôn chúng. Ngoài ra, hãy chăm sóc phòng ngừa bằng cách cắt tỉa mùa mới và đốt chúng. Bạn nên cắt tỉa trong mùa ngủ đông. Điều này sẽ giảm thiểu tỷ lệ bệnh bạc lá sẽ lây nhiễm vào cây của bạn và tạo ra mô chết có thể dễ dàng bị nhiễm Botryosphaeria.Bạn cũng nên đề phòng nếu vỏ cây bị hư hại do mưa đá, hoặc cành cây bị gãy trong cơn bão. Sử dụng thuốc diệt nấm gốc đồng sẽ bảo vệ chống lại cả bệnh thối đen và bệnh bạc lá.",https://ipm.missouri.edu/meg/2020/6/blackRotApple-MW/blackRotLesionsApple.jpg,
2,Apple,Rỉ sét tuyết tùng,"Bệnh gỉ sắt táo tuyết tùng (Gymnosporangium juniperi-virginianae) là một bệnh nấm đòi hỏi cây bách xù phải hoàn thành vòng đời hai năm phức tạp của nó. Các bào tử đan xen như một túi mật màu nâu đỏ trên cành cây non của các loài cây bách xù khác nhau. Vào đầu mùa xuân, trong thời tiết ẩm ướt, những túi mật này phồng lên và những khối bào tử màu cam sáng bị gió thổi, nơi chúng lây nhiễm vào những cây táo và táo cua nhạy cảm. Các bào tử phát triển trên những cây này sẽ chỉ lây nhiễm cho cây bách xù vào năm sau. Từ năm này sang năm khác, bệnh phải truyền từ cây bách xù sang táo sang cây bách xù một lần nữa; Nó không thể lây lan giữa các cây táo.","Chọn giống cây trồng kháng bệnh khi có sẵn. Cào lên và vứt bỏ lá rụng và các mảnh vụn khác từ dưới tán cây. Loại bỏ galls từ junipers bị nhiễm bệnh. Trong một số trường hợp, cây bách xù nên được loại bỏ hoàn toàn. Áp dụng các loại thuốc diệt nấm phòng ngừa, chống lại bệnh tật được dán nhãn để sử dụng trên táo hàng tuần, bắt đầu bằng việc phá nụ, để bảo vệ cây khỏi bào tử được giải phóng bởi vật chủ cây bách xù. Điều này chỉ xảy ra một lần mỗi năm, vì vậy các ứng dụng bổ sung sau khi lây lan mùa xuân này là không cần thiết. Trên cây bách xù, rỉ sét có thể được kiểm soát bằng cách phun thực vật bằng dung dịch đồng (0,5 đến 2,0 oz / gallon nước) ít nhất bốn lần từ cuối tháng Tám đến cuối tháng Mười. Điều trị an toàn hầu hết các bệnh nấm và vi khuẩn với SERENADE Garden. Thuốc diệt nấm sinh học phổ rộng này sử dụng một chủng Bacillus subtilis đã được cấp bằng sáng chế được đăng ký sử dụng hữu cơ. Trên hết, SERENADE hoàn toàn không độc hại đối với ong mật và côn trùng có lợi.",https://content.ces.ncsu.edu/media/images/RUST.png,
3,Apple, Healthy,"Như với hầu hết các loại trái cây, táo sản xuất tốt nhất khi được trồng trong ánh nắng mặt trời đầy đủ, có nghĩa là sáu giờ trở lên của Mặt trời mùa hè trực tiếp hàng ngày. Tiếp xúc tốt nhất cho táo là phía bắc của một ngôi nhà, đường cây, hoặc mọc lên chứ không phải là phía nam. Cây táo cần đất thoát nước tốt, nhưng có thể giữ được độ ẩm.",Táo rất bổ dưỡng.  Táo có thể tốt cho việc giảm cân. Táo có thể tốt cho tim của bạn.  Chúng có liên quan đến nguy cơ mắc bệnh tiểu đường thấp hơn.  Chúng có thể có tác dụng prebiotic và thúc đẩy vi khuẩn đường ruột tốt. Các chất trong táo có thể giúp ngăn ngừa ung thư.,https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg,
4,Background Without Leaves,Không phát hiện lá cây,Không có lá trong hình ảnh đã cho,Vui lòng tải lại hình ảnh bằng Leaf,https://cdn.onlinewebfonts.com/svg/img_332817.png,
5,Blueberry, Healthy,"Quả việt quất có lượng calo thấp nhưng giàu chất dinh dưỡng. ... Quả việt quất là vua của thực phẩm chống oxy hóa. ... Quả việt quất làm giảm tổn thương DNA, có thể giúp bảo vệ chống lão hóa và ung thư. ... Quả việt quất bảo vệ cholesterol trong máu của bạn khỏi bị hư hại. ... Quả việt quất có thể làm giảm huyết áp.","Lớp phủ sâu, pH thấp như rêu than bùn, kim thông hoặc mùn cưa lâu năm giúp tiết kiệm nước và giảm thiểu biến động nước trong đất. Tưới nước cho cây việt quất vào ban ngày. Giữ cho đất ẩm nhưng không bị sũng nước. Cung cấp cho chúng ít nhất 1 ""mỗi tuần trong mùa sinh trưởng và tối đa 4"" mỗi tuần trong khi quả chín. Quả việt quất là một loại cây có rễ nông. Do đó, nó đòi hỏi một loại đất giữ độ ẩm, nhưng cũng thoát nước tốt và không bị ẩm ướt. Không trồng việt quất ở những nơi có đất sét nặng, ẩm ướt.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg,https://i.imgur.com/0ckFQle.png
6,Cherry,Bệnh phấn trắng,"Các triệu chứng ban đầu, thường xảy ra từ 7 đến 10 ngày sau khi bắt đầu lần tưới đầu tiên, là các mảng màu trắng hình tròn nhạt trên lá non, mẫn cảm (lá mới mở ra và lá mở rộng màu xanh nhạt). Lá già phát triển khả năng kháng bệnh liên quan đến tuổi (ontogenic) đối với bệnh phấn trắng và có khả năng chống nhiễm trùng tự nhiên cao hơn lá non. Tìm kiếm các bệnh nhiễm trùng lá sớm trên rễ hút, bên trong tán cây hoặc đáy quần của cây nơi có độ ẩm cao. Trái ngược với các loại nấm khác, phấn trắng không cần nước tự do để nảy mầm nhưng sự nảy mầm và phát triển của nấm được ưa chuộng bởi độ ẩm cao. Bệnh có nhiều khả năng bắt đầu ở mặt dưới (abaxial) của lá nhưng sẽ xảy ra ở cả hai bên ở giai đoạn sau. Khi mùa tiến triển và nhiễm trùng lây lan qua gió, lá có thể bị biến dạng, cuộn tròn lên. Nhiễm trùng nặng có thể khiến lá nhăn lại và xoắn. Lá mới phát triển trên chồi mới trở nên nhỏ dần, thường nhợt nhạt và ...","Khử trùng các cạnh cắt, sau đó cắt tỉa và loại bỏ các phần bị bệnh của cây ngay lập tức. Đồng thời, bôi thuốc diệt nấm để bảo vệ những lá còn lại trên cây ăn quả. Bạn sẽ cần lặp lại các ứng dụng thuốc diệt nấm theo hướng dẫn trên nhãn để bảo vệ cây trong toàn bộ mùa.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png,https://i.imgur.com/Wo0fNUI.png
7,Cherry, Healthy,"Không có sự khác biệt trong việc chăm sóc giữa anh đào chua và ngọt. Áp dụng lớp phủ để giữ độ ẩm. Treo lưới trên cây để bảo vệ trái cây khỏi chim. Tưới nước thường xuyên ở những nơi khô ráo. Tỉa thưa quả là không cần thiết cho cây anh đào, vì chúng thường mỏng tự nhiên vào đầu mùa hè.",Đóng gói với các chất dinh dưỡng. Giàu chất chống oxy hóa và các hợp chất chống viêm. Có thể thúc đẩy phục hồi tập thể dục. Có thể có lợi cho sức khỏe tim mạch. Có thể cải thiện các triệu chứng viêm khớp và bệnh gút. Có thể cải thiện chất lượng giấc ngủ. Dễ dàng để thêm vào chế độ ăn uống của bạn.,https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg,
8,Corn,Bệnh đốm lá Cercospora | đốm lá xám,"Bệnh đốm lá xám trên ngô, do nấm Cercospora zeae-maydis gây ra, là một bệnh lâu năm và gây hại kinh tế ở Hoa Kỳ. Kể từ giữa những năm 1990, căn bệnh này đã tăng tầm quan trọng ở Indiana, và bây giờ là một trong những bệnh trên lá quan trọng nhất của ngô trong tiểu bang. Bệnh đốm lá xám là do nấm Pyricularia grisea gây ra, còn được gọi là Magnaporthe grisea. Thời kỳ mưa ấm áp thường xuyên phổ biến ở Florida tạo điều kiện thuận lợi cho bệnh nấm này. Loại nấm này làm chậm sự phát triển, làm mỏng các giá đỡ được thiết lập và có thể giết chết các khu vực rộng lớn của St.","Tưới sâu, nhưng không thường xuyên. Tránh sử dụng thuốc diệt cỏ sau khi xuất hiện trên bãi cỏ trong khi bệnh đang hoạt động. Tránh mức phân đạm từ trung bình đến cao. Cải thiện lưu thông không khí và mức độ ánh sáng trên bãi cỏ. Cắt ở độ cao thích hợp và chỉ cắt khi cỏ khô.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png,https://i.imgur.com/3tOHeMW.png
9,Corn,rỉ sét thông thường,"Mặc dù một vài mụn mủ rỉ sét luôn có thể được tìm thấy trên các cánh đồng ngô trong suốt mùa sinh trưởng, các triệu chứng thường không xuất hiện cho đến sau khi tua. Chúng có thể dễ dàng nhận ra và phân biệt với các bệnh khác bằng sự phát triển của mụn mủ sẫm màu, màu nâu đỏ (uredinia) nằm rải rác trên cả bề mặt trên và dưới của lá ngô. Những mụn mủ này có thể xuất hiện trên bất kỳ phần nào trên mặt đất của cây, nhưng có nhiều nhất trên lá. Mụn mủ xuất hiện hình bầu dục để kéo dài về hình dạng, thường nhỏ, dài dưới 1/4 inch và được bao quanh bởi lớp biểu bì lá, nơi nó đã xuyên qua.","Để giảm tỷ lệ mắc bệnh gỉ sắt ngô, chỉ trồng ngô có khả năng kháng nấm. Sức đề kháng ở dạng kháng đặc trưng cho chủng tộc hoặc chống gỉ một phần. Trong cả hai trường hợp, không có ngô ngọt nào có khả năng kháng hoàn toàn. Nếu ngô bắt đầu có triệu chứng nhiễm trùng, ngay lập tức phun thuốc diệt nấm.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png,
10,Corn,Bệnh bạc lá phía Bắc,"Bệnh bạc lá ngô miền Bắc (NCLB) do nấm Setosphaeria turcica gây ra. Các triệu chứng thường xuất hiện đầu tiên ở lá dưới. Các tổn thương trên lá dài (1 đến 6 inch) và hình elip, lúc đầu màu xanh xám nhưng sau đó chuyển sang màu xám nhạt hoặc nâu. Trong điều kiện ẩm ướt, các bào tử màu xám đen được tạo ra, thường ở bề mặt lá dưới, làm cho các tổn thương có màu xám ""bẩn"". Toàn bộ lá trên cây bị tàn phá nghiêm trọng có thể chết, do đó không nhìn thấy các tổn thương riêng lẻ. Các tổn thương có thể xảy ra ở vỏ trấu bên ngoài của tai, nhưng hạt nhân không bị nhiễm trùng. Trên các giống lai có chứa gen Ht để kháng nấm, các tổn thương nhỏ hơn, úa vàng và có thể phát triển thành các vệt tuyến tính. Những tổn thương này hiếm khi tạo ra bào tử.","Sử dụng thuốc diệt nấm làm giảm thiệt hại do bệnh bạc lá ngô miền Bắc và năng suất được bảo vệ. Giá trị thuốc diệt nấm cao hơn trong việc giảm năng suất ở các giống ngô lai mẫn cảm. Thuốc diệt nấm có hiệu quả nhất nếu chúng được áp dụng khi khởi phát bệnh. Bệnh khởi phát khác nhau trong các giai đoạn tăng trưởng, và do đó giai đoạn tốt nhất để áp dụng thuốc diệt nấm.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg,
11,Corn, Healthy,"Cây ngô thích nhiệt độ ban ngày từ 75 đến 80 độ F và 65 đến 70 độ F vào ban đêm. Đất cần được giữ ẩm liên tục, nhưng không bị sũng nước và chúng chỉ cần phân bón 6 tháng một lần. Mặc dù dracaena có thể mất điều kiện ánh sáng yếu, nhưng chúng hoạt động tốt nhất khi được đặt trong ánh sáng mạnh nhưng gián tiếp. Nó chỉ là tự nhiên cho một cây để sản xuất một vài lá vàng, nó không có gì để báo động. Tuy nhiên, nếu nó tạo ra nhiều lá vàng cùng một lúc, giả sử năm hoặc sáu, bạn có thể tưới nước quá nhiều hoặc cây có thể bị thiếu ánh sáng.","Ngô có một số lợi ích sức khỏe. Do hàm lượng chất xơ cao, nó có thể hỗ trợ tiêu hóa. Nó cũng chứa các vitamin B có giá trị, rất quan trọng đối với sức khỏe tổng thể của bạn. Ngô cũng cung cấp cho cơ thể chúng ta các khoáng chất thiết yếu như kẽm, magiê, đồng, sắt và mangan.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg,
12,Grape,Thối đen,"Bệnh thối đen nho là một bệnh nấm gây ra bởi một loại nấm ascomycetous, Guignardia bidwellii, tấn công cây nho trong thời tiết nóng ẩm. ""Bệnh thối đen nho có nguồn gốc từ miền đông Bắc Mỹ, nhưng hiện nay xảy ra ở các khu vực của châu Âu, Nam Mỹ và châu Á. Nó có thể gây mất mùa hoàn toàn ở vùng khí hậu ấm áp, ẩm ướt, nhưng hầu như không được biết đến ở những vùng có mùa hè khô cằn. Tên này xuất phát từ rìa đen giáp với các mảng nâu mọc trên lá. Bệnh cũng tấn công các bộ phận khác của cây, ""tất cả các phần màu xanh của cây nho: chồi, lá và thân quả, tua và quả. Hậu quả tai hại nhất là đối với trái cây""","Mancozeb có sẵn dưới dạng thuốc diệt nấm BONIDE MANCOZEB FLOWABLE. Nó chứa 37% Mancozeb và rất hiệu quả để kiểm soát bệnh thối đen. Nova (myclobutanil) có sẵn trong IMMUNOX FUNGICIDE. Nó là 1,55% myclobutanil và có hiệu quả để kiểm soát bệnh thối đen.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg,https://i.imgur.com/KcI6GDc.png
13,Grape,Esca | Bệnh sởi đen,"Bệnh sởi nho, còn được gọi là esca, sởi đen hoặc sởi Tây Ban Nha, từ lâu đã gây khó khăn cho người trồng nho với biểu hiện khó hiểu của các triệu chứng và, trong một thời gian dài, thiếu (các) sinh vật gây bệnh có thể xác định được. Cái tên 'sởi' dùng để chỉ những đốm bề mặt được tìm thấy trên quả (Hình 1). Trong mùa, các đốm có thể kết lại trên bề mặt da, làm cho quả mọng có màu đen. Đốm có thể phát triển bất cứ lúc nào giữa bộ quả và một vài ngày trước khi thu hoạch. Quả mọng bị ảnh hưởng ở bộ quả có xu hướng không trưởng thành và sẽ co lại và khô. Ngoài đốm, trái cây bị ảnh hưởng vào cuối mùa cũng sẽ có vị chát. Các triệu chứng trên lá được đặc trưng bởi mô hình 'sọc hổ' (Hình lá 2 đáy) khi nhiễm trùng nghiêm trọng từ năm này sang năm khác. Nhiễm trùng nhẹ có thể gây ra các triệu chứng trên lá (Hình 2 lá trên) có thể bị nhầm lẫn với các bệnh khác hoặc thiếu hụt dinh dưỡng. Các giống màu trắng sẽ hiển thị các khu vực bị nhiễm clo sau đó là hoại tử, trong khi các giống màu đỏ là đặc trưng của ...","Cho đến nay không có phương pháp hiệu quả để kiểm soát căn bệnh này. Loại bỏ các loại quả mọng, lá và thân cây bị nhiễm bệnh và tiêu diệt chúng. Bảo vệ vết thương mận khô để giảm thiểu nhiễm nấm bằng cách sử dụng keo dán vết thương (5% axit boric trong sơn acrylic) hoặc tinh dầu hoặc thuốc diệt nấm thích hợp.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg,
